"user_id","country_code","region","marketing_channel","signup_method"
"15fcb402","KR","APAC","Direct","Desktop"
"2685e4b8","US","NA","Direct","Mobile"
"36272d4a","AU","APAC","Direct","Mobile"
"79298ab7","GB","EMEA","Direct","Mobile"
"854c5fc7","US","NA","Direct","Desktop"
"854c5fc7","US","NA","Direct","Desktop"
"92884f57","PL","EMEA","Direct","Mobile"
"bdc63d3a","US","NA","Direct","Mobile"
"c01d6588","US","NA","Direct","Desktop"
"d41fa19e","US","NA","Direct","Desktop"
"e056a0fb","PR","NA","Direct","Desktop"
"f9d6b940","PL","EMEA","Direct","Desktop"
"15fb64c5","BE","EMEA","Direct","Desktop"
"0b37ab05","US","NA","Direct","Desktop"
"0cdd60d9","US","NA","Direct","Desktop"
"15dd056b","FR","EMEA","Direct","Desktop"
"4028cf78","US","NA","Direct","Desktop"
"25ba24c8","US","NA","Direct","Desktop"
"25ba24c8","US","NA","Direct","Desktop"
"32d118e7","NZ","APAC","Email","Mobile"
"7e562ac2","US","NA","Direct","Desktop"
"7a734d17","US","NA","Direct","Mobile"
"8f85baa1","US","NA","Social Media","Tablet"
"95b55f27","US","NA","Affiliate","Unknown"
"a1e4644b","US","NA","Direct","Desktop"
"ceaf8783","US","NA","Email","Mobile"
"d72d0e42","GB","EMEA","Direct","Mobile"
"dd6479b4","US","NA","Direct","Mobile"
"fd09c610","US","NA","Direct","Desktop"
"20724414","US","NA","Direct","Desktop"
"20724414","US","NA","Direct","Desktop"
"31a6b151","SE","EMEA","Direct","Desktop"
"2b4fb703","US","NA","Direct","Desktop"
"3a8e0a94","GB","EMEA","Direct","Mobile"
"48c7db16","GB","EMEA","Direct","Desktop"
"61fb6365","GB","EMEA","Direct","Desktop"
"996d4fb9","US","NA","Direct","Desktop"
"afd34698","US","NA","Email","Mobile"
"b0ef8492","KZ","EMEA","Direct","Mobile"
"c9e78368","IE","EMEA","Direct","Mobile"
"c9e78368","IE","EMEA","Direct","Mobile"
"d54230aa","FR","EMEA","Direct","Desktop"
"d54230aa","FR","EMEA","Direct","Desktop"
"f4db6a8e","GB","EMEA","Email","Mobile"
"d873033f","US","NA","Direct","Desktop"
"50134054","US","NA","Direct","Desktop"
"0440aa1d","US","NA","Direct","Desktop"
"095d2834","SV","LATAM","Email","Mobile"
"19393d51","US","NA","Direct","Desktop"
"6bf693bb","US","NA","Direct","Mobile"
"c8ad011a","GB","EMEA","Direct","Desktop"
"ef068857","US","NA","Affiliate","Unknown"
"31f5589","US","NA","Direct","Desktop"
"2bfc6186","JP","APAC","Direct","Mobile"
"b29f9392","US","NA","Direct","Desktop"
"24793791","RU","APAC","Direct","Mobile"
"11fd9f5d","FR","EMEA","Direct","Desktop"
"16ea99e1","US","NA","Social Media","Tablet"
"4faf03bf","US","NA","Direct","Desktop"
"5fb98e99","US","NA","Affiliate","Unknown"
"64e27efa","BR","LATAM","Direct","Desktop"
"68394af4","ZA","EMEA","Direct","Desktop"
"a2994fa9","US","NA","Direct","Desktop"
"b6777536","GB","EMEA","Social Media","Tablet"
"d6c38d9a","KR","APAC","Direct","Desktop"
"da5b6014","AU","APAC","Direct","Desktop"
"34248988","FR","EMEA","Direct","Desktop"
"34248988","FR","EMEA","Direct","Desktop"
"08ab62ff","US","NA","Direct","Desktop"
"08ab62ff","US","NA","Direct","Desktop"
"0ebcc31c","US","NA","Direct","Mobile"
"5cd53fc2","US","NA","Email","Mobile"
"75b31c64","US","NA","Direct","Mobile"
"84844f57","KR","APAC","Direct","Desktop"
"c26e2da2","KR","APAC","Direct","Desktop"
"d332959b","SE","EMEA","Direct","Desktop"
"e39a6f5a","US","NA","Direct","Desktop"
"e80bbc20","BR","LATAM","Direct","Desktop"
"34578cad","FI","EMEA","Direct","Desktop"
"8a95e69e","US","NA","Direct","Desktop"
"1651b3da","AU","APAC","Direct","Desktop"
"223fa8b1","CA","NA","Direct","Desktop"
"3febead3","US","NA","Direct","Desktop"
"469c9592","US","NA","Direct","Desktop"
"647e97c6","US","NA","Direct","Desktop"
"83910a71","US","NA","Direct","Mobile"
"a056f6ec","GB","EMEA","Direct","Desktop"
"a25ebf0a","US","NA","Direct","Desktop"
"a25ebf0a","US","NA","Direct","Desktop"
"a6c8c065","RU","APAC","Email","Mobile"
"c013042f","NL","EMEA","Direct","Desktop"
"cf798e88","US","NA","Direct","Desktop"
"d575ef99","IT","EMEA","Direct","Mobile"
"d575ef99","IT","EMEA","Direct","Mobile"
"d7866637","US","NA","Direct","Mobile"
"ea19a4df","US","NA","Direct","Desktop"
"14aa334f","US","NA","Direct","Mobile"
"ae632286","US","NA","Direct","Desktop"
"34009581","US","NA","Direct","Desktop"
"4330b879","GB","EMEA","Direct","Desktop"
"4a96c9f5","FR","EMEA","Direct","Desktop"
"50dcfb9d","US","NA","Direct","Desktop"
"56bf6743","NO","EMEA","Direct","Mobile"
"693058f1","US","NA","Direct","Desktop"
"7bb6dc3e","US","NA","Direct","Mobile"
"85e5e567","EE","EMEA","Direct","Desktop"
"a50655f6","JP","APAC","Direct","Desktop"
"e61f0ae3","US","NA","Direct","Desktop"
"3ca7980d","TZ","EMEA","Direct","Mobile"
"4b43bb52","JP","APAC","Email","Mobile"
"273a5639","US","NA","Social Media","Tablet"
"54f794f4","US","NA","Direct","Desktop"
"553d00e9","US","NA","Direct","Desktop"
"6bc1bb19","GB","EMEA","Direct","Desktop"
"85e7e071","BR","LATAM","Direct","Mobile"
"86ef1ef9","US","NA","Direct","Desktop"
"86ef1ef9","US","NA","Direct","Desktop"
"c76630e6","US","NA","Email","Mobile"
"ef58e072","US","NA","Direct","Desktop"
"ef58e072","US","NA","Direct","Desktop"
"fae901d4","PL","EMEA","Affiliate","Unknown"
"fc6d09dc","DK","EMEA","Direct","Desktop"
"616b2bf5","US","NA","Direct","Mobile"
"85f3deff","AU","APAC","Direct","Mobile"
"1d9bea80","US","NA","Direct","Desktop"
"21916f83","US","NA","Affiliate","Unknown"
"5e7909ed","US","NA","Affiliate","Unknown"
"de43e7ca","US","NA","Direct","Desktop"
"85c6635c","US","NA","Email","Mobile"
"e7bb580e","US","NA","Direct","Desktop"
"f8dcaf6a","US","NA","Direct","Desktop"
"307d09bd","CA","NA","Affiliate","Unknown"
"03afc5a8","CZ","EMEA","Direct","Desktop"
"0903192c","RS","EMEA","Direct","Desktop"
"55ce8b9c","US","NA","Direct","Mobile"
"5819cab5","BR","LATAM","Direct","Mobile"
"637b6e34","AU","APAC","Email","Mobile"
"8e0dc68b","US","NA","Direct","Mobile"
"9a3ab4d0","GB","EMEA","Email","Mobile"
"bd28d0ef","GB","EMEA","Direct","Desktop"
"d06ecc22","US","NA","Direct","Desktop"
"db8e7592","GR","EMEA","Direct","Desktop"
"dbbe237d","US","NA","Direct","Desktop"
"e8555ba2","US","NA","Direct","Desktop"
"f4c39cc3","US","NA","Direct","Desktop"
"ffcf8a1c","US","NA","Direct","Desktop"
"ffcf8a1c","US","NA","Direct","Desktop"
"6f50894d","US","NA","Direct","Desktop"
"2ca457de","US","NA","Direct","Desktop"
"34b8bc48","IL","EMEA","Direct","Mobile"
"368487a9","IT","EMEA","Direct","Mobile"
"4f3e6574","DK","EMEA","Affiliate","Unknown"
"5120e978","UY","LATAM","Direct","Desktop"
"73c68ea9","IT","EMEA","Direct","Desktop"
"90eca615","DK","EMEA","Direct","Desktop"
"a0ff764b","BA","EMEA","Direct","Desktop"
"a2dd926f","US","NA","Email","Mobile"
"a5c9a124","FR","EMEA","Direct","Desktop"
"aa2b1ac8","NL","EMEA","Email","Mobile"
"b2d144bd","US","NA","Direct","Desktop"
"bc381ee0","JP","APAC","Direct","Mobile"
"ce3bd150","ES","EMEA","Direct","Desktop"
"cef45cfc","ZA","EMEA","Email","Mobile"
"4131fe8b","US","NA","Direct","Desktop"
"9f21687f","US","NA","Direct","Desktop"
"ca34d566","GB","EMEA","Direct","Desktop"
"ca34d566","GB","EMEA","Direct","Desktop"
"03f10bfe","SI","EMEA","Affiliate","Unknown"
"03f10bfe","SI","EMEA","Affiliate","Unknown"
"0c124194","US","NA","Direct","Desktop"
"24b778b7","FR","EMEA","Direct","Desktop"
"28a979c1","HU","EMEA","Direct","Desktop"
"2cd3fe7f","SE","EMEA","Direct","Desktop"
"84e56d81","US","NA","Direct","Desktop"
"8677ee25","US","NA","Direct","Desktop"
"8677ee25","US","NA","Direct","Desktop"
"b735b7c7","PL","EMEA","Direct","Desktop"
"c6ba60e1","CA","NA","Direct","Mobile"
"cca9c4d8","GH","EMEA","Email","Mobile"
"d035cb41","TW","APAC","Direct","Desktop"
"dd50e4ca","US","NA","Direct","Desktop"
"4ff3ef89","GB","EMEA","Direct","Mobile"
"4ff3ef89","GB","EMEA","Direct","Mobile"
"553fe9b1","US","NA","Direct","Desktop"
"1b362056","FR","EMEA","Affiliate","Unknown"
"1b362056","FR","EMEA","Affiliate","Unknown"
"1c4defc4","US","NA","Direct","Mobile"
"1fa4c98a","US","NA","Email","Mobile"
"2270a0c1","US","NA","Direct","Desktop"
"2270a0c1","US","NA","Direct","Desktop"
"3c7e1ae4","US","NA","Direct","Desktop"
"553fe9b1","US","NA","Direct","Desktop"
"a288b2fa","HU","EMEA","Direct","Mobile"
"5196702b","US","NA","Direct","Desktop"
"e8f4f34b","US","NA","Direct","Desktop"
"6f72a136","NZ","APAC","Direct","Desktop"
"6f72a136","NZ","APAC","Direct","Desktop"
"8b1b0c88","US","NA","Direct","Desktop"
"a6384959","US","NA","Direct","Desktop"
"abd8f94f","US","NA","Direct","Desktop"
"af7de6d2","FR","EMEA","Direct","Desktop"
"b40153de","DE","EMEA","Direct","Desktop"
"b650ecf4","IL","EMEA","Direct","Desktop"
"c6c62af0","US","NA","Direct","Desktop"
"d4be2b9c","US","NA","Direct","Mobile"
"ea2ad1cc","US","NA","Direct","Desktop"
"52623a19","MX","LATAM","Direct","Mobile"
"77847ea0","MX","LATAM","Direct","Mobile"
"66946129","US","NA","Direct","Mobile"
"134fc032","US","NA","Direct","Mobile"
"2b94c0cf","NZ","APAC","Direct","Desktop"
"a6ff6556","AT","EMEA","Direct","Desktop"
"d2fe183b","GB","EMEA","Direct","Desktop"
"43870794","BR","LATAM","Direct","Desktop"
"10f04edc","US","NA","Direct","Desktop"
"18a2cab3","GB","EMEA","Direct","Desktop"
"24dc46a0","US","NA","Direct","Desktop"
"665d2de7","US","NA","Direct","Desktop"
"685b278c","GB","EMEA","Direct","Desktop"
"685b278c","GB","EMEA","Direct","Desktop"
"6c26f6d7","GB","EMEA","Direct","Mobile"
"6fd6840c","CH","EMEA","Direct","Desktop"
"726f2542","GB","EMEA","Email","Mobile"
"8919564f","HK","APAC","Direct","Desktop"
"9a585d46","US","NA","Email","Mobile"
"a082c099","US","NA","Direct","Mobile"
"aed9582b","SG","APAC","Direct","Desktop"
"bd6bb4ba","DE","EMEA","Direct","Desktop"
"bd6bb4ba","DE","EMEA","Direct","Desktop"
"45cec068","US","NA","Direct","Desktop"
"47af6b40","GB","EMEA","Direct","Mobile"
"647dfd5c","CA","NA","Direct","Desktop"
"8866f09f","US","NA","Direct","Desktop"
"97114c5e","SE","EMEA","Direct","Mobile"
"a2d55227","US","NA","Direct","Mobile"
"b058a258","US","NA","Direct","Desktop"
"b4ebe018","CA","NA","Direct","Desktop"
"be5fde32","US","NA","Direct","Desktop"
"dba238a9","US","NA","Direct","Mobile"
"e1486441","ES","EMEA","Direct","Mobile"
"e729917a","US","NA","Direct","Mobile"
"efae9b9f","US","NA","Direct","Desktop"
"585c921c","KR","APAC","Email","Mobile"
"a66a8340","US","NA","Direct","Desktop"
"47562582","AU","APAC","Direct","Desktop"
"192baf69","GB","EMEA","Direct","Desktop"
"19ee2d59","US","NA","Unknown","TV"
"31c8454b","US","NA","Direct","Desktop"
"4115de67","US","NA","Email","Mobile"
"7e03342f","US","NA","Affiliate","Unknown"
"7fab0614","MX","LATAM","Social Media","Tablet"
"a30620ed","US","NA","Direct","Desktop"
"b2f2ab95","IT","EMEA","Direct","Mobile"
"f9ae2f4c","IE","EMEA","Direct","Desktop"
"ff097f95","IQ","EMEA","Direct","Desktop"
"11040451","PS","EMEA","Direct","Desktop"
"75319864","US","NA","Direct","Desktop"
"24ffae1c","GB","EMEA","Direct","Desktop"
"65aaa522","US","NA","Direct","Desktop"
"8f6983dd","DE","EMEA","Direct","Desktop"
"8f6983dd","DE","EMEA","Direct","Desktop"
"922f73e0","US","NA","Affiliate","Unknown"
"9db9799d","US","NA","Direct","Desktop"
"adf456c5","US","NA","Direct","Desktop"
"e6ed9ee8","US","NA","Direct","Desktop"
"f3aacb61","US","NA","Direct","Desktop"
"4050792c","GB","EMEA","Direct","Desktop"
"4c43c89a","TW","APAC","Direct","Desktop"
"5e2f5b35","GB","EMEA","Direct","Desktop"
"6dcbe22d","GR","EMEA","Direct","Desktop"
"aacf2965","RS","EMEA","Direct","Desktop"
"c6d7d8f1","CA","NA","Direct","Desktop"
"086486bf","US","NA","Email","Mobile"
"bfae6202","US","NA","Direct","Desktop"
"0adeceb8","US","NA","Direct","Desktop"
"183b994f","US","NA","Direct","Desktop"
"26f5763c","CA","NA","Direct","Desktop"
"35daf38b","US","NA","Direct","Desktop"
"3e7d5132","ES","EMEA","Direct","Mobile"
"48532b59","US","NA","Direct","Desktop"
"7b0c2f37","US","NA","Direct","Desktop"
"8ecd253d","US","NA","Direct","Desktop"
"f8674804","ZA","EMEA","Direct","Desktop"
"c301bd85","GB","EMEA","Email","Mobile"
"c301bd85","GB","EMEA","Email","Mobile"
"e542683f","IE","EMEA","Direct","Desktop"
"fde8e731","DK","EMEA","Direct","Desktop"
"2.53E+79","BE","EMEA","Direct","Desktop"
"07c4fa6b","BR","LATAM","Direct","Desktop"
"08698e6f","KR","APAC","Direct","Desktop"
"08698e6f","KR","APAC","Direct","Desktop"
"0dbe654f","AU","APAC","Direct","Desktop"
"10fc0628","GB","EMEA","Direct","Desktop"
"2003f1fb","AU","APAC","Direct","Mobile"
"5e182c90","CA","NA","Direct","Desktop"
"5ff803ac","US","NA","Direct","Desktop"
"9a02a7e3","US","NA","Direct","Desktop"
"e62d7686","AU","APAC","Direct","Desktop"
"ef504ebe","ES","EMEA","Direct","Mobile"
"ef504ebe","ES","EMEA","Direct","Mobile"
"3778a84a","IT","EMEA","Direct","Desktop"
"3778a84a","IT","EMEA","Direct","Desktop"
"6f6f53f8","US","NA","Direct","Desktop"
"f003812d","US","NA","Direct","Desktop"
"27897fbc","BR","LATAM","Direct","Mobile"
"2e210789","CA","NA","Affiliate","Unknown"
"3a743e50","US","NA","Email","Mobile"
"482763d3","US","NA","Direct","Desktop"
"482763d3","US","NA","Direct","Desktop"
"532cd28e","US","NA","Affiliate","Unknown"
"5b711f94","PL","EMEA","Direct","Desktop"
"7f232784","US","NA","Direct","Desktop"
"86bc6ee6","US","NA","Direct","Desktop"
"a166e82f","US","NA","Unknown","TV"
"a840c49e","CA","NA","Affiliate","Unknown"
"a840c49e","CA","NA","Affiliate","Unknown"
"c61e8cf6","US","NA","Direct","Desktop"
"c61e8cf6","US","NA","Direct","Desktop"
"cfd18a37","US","NA","Direct","Desktop"
"d501c469","FR","EMEA","Email","Mobile"
"d501c469","FR","EMEA","Email","Mobile"
"d5463122","GB","EMEA","Direct","Desktop"
"ebd7ef17","GB","EMEA","Direct","Desktop"
"90725575","MX","LATAM","Email","Mobile"
"123d3895","BR","LATAM","Direct","Desktop"
"9bf7aff0","US","NA","Direct","Mobile"
"a9865f08","GB","EMEA","Direct","Desktop"
"c233e74a","US","NA","Direct","Desktop"
"0b2f5935","US","NA","Email","Mobile"
"22f664d6","NL","EMEA","Direct","Mobile"
"5cc9065d","GB","EMEA","Direct","Mobile"
"5ffa05a4","US","NA","Direct","Mobile"
"75ac3188","US","NA","Direct","Desktop"
"8a8cc832","US","NA","Direct","Mobile"
"95747c5c","NO","EMEA","Direct","Mobile"
"b0e93369","US","NA","Affiliate","Unknown"
"b9a185ec","MX","LATAM","Direct","Desktop"
"c03a4367","IE","EMEA","Direct","Desktop"
"c4226ee7","AU","APAC","Direct","Desktop"
"256e86b3","GB","EMEA","Direct","Desktop"
"3c9a0bda","GB","EMEA","Direct","Mobile"
"3c9a0bda","GB","EMEA","Direct","Mobile"
"50bbe376","US","NA","Direct","Desktop"
"50bbe376","US","NA","Direct","Desktop"
"71f647bd","BR","LATAM","Direct","Desktop"
"9a762bd7","ES","EMEA","Affiliate","Unknown"
"bcb5ca7a","US","NA","Direct","Desktop"
"be09bc28","NL","EMEA","Direct","Desktop"
"c1b7002e","US","NA","Direct","Desktop"
"c7aeaf56","US","NA","Direct","Desktop"
"c7aeaf56","US","NA","Direct","Desktop"
"dd310372","FR","EMEA","Direct","Desktop"
"2adf89af","CA","NA","Affiliate","Unknown"
"551d6459","JP","APAC","Direct","Desktop"
"5fcef873","AE","EMEA","Direct","Desktop"
"81b804fd","US","NA","Affiliate","Unknown"
"81b804fd","US","NA","Affiliate","Unknown"
"1fa66a5c","KR","APAC","Direct","Desktop"
"bb2909cd","CH","EMEA","Direct","Desktop"
"4cd7b87b","NO","EMEA","Direct","Desktop"
"bb2909cd","CH","EMEA","Direct","Desktop"
"6c4cd87c","JP","APAC","Email","Mobile"
"76650df0","US","NA","Affiliate","Unknown"
"94cc568c","RU","APAC","Direct","Desktop"
"9694d7ed","US","NA","Direct","Desktop"
"9da3b4a6","NL","EMEA","Email","Mobile"
"ad7af284","FR","EMEA","Direct","Desktop"
"dacafa20","TH","APAC","Direct","Desktop"
"df9af3a6","BR","LATAM","Social Media","Tablet"
"f62e01c0","US","NA","Direct","Desktop"
"ff79712c","US","NA","Direct","Desktop"
"103bcb97","GB","EMEA","Email","Mobile"
"1af6d145","US","NA","Direct","Mobile"
"2d31e8a4","US","NA","Email","Mobile"
"2d31e8a4","US","NA","Email","Mobile"
"430f2f84","US","NA","Direct","Desktop"
"48a6ee01","CA","NA","Direct","Desktop"
"48a6ee01","CA","NA","Direct","Desktop"
"a333e556","US","NA","Affiliate","Unknown"
"a99c28d2","GB","EMEA","Direct","Desktop"
"c6c4686d","US","NA","Email","Mobile"
"ceebc44d","US","NA","Direct","Desktop"
"d68a69d3","US","NA","Direct","Desktop"
"c2108d4b","US","NA","Direct","Desktop"
"006ac5a0","CH","EMEA","Email","Mobile"
"10264b1f","GB","EMEA","Direct","Desktop"
"69f5d3d2","US","NA","Email","Mobile"
"71f054c2","GB","EMEA","Direct","Desktop"
"c543ef19","DE","EMEA","Direct","Desktop"
"e64e3063","US","NA","Direct","Desktop"
"0a4bcd96","IE","EMEA","Direct","Desktop"
"1066e8a9","JP","APAC","Direct","Mobile"
"10b283cb","GB","EMEA","Direct","Desktop"
"5bca8295","AU","APAC","Direct","Desktop"
"dd90bb5e","US","NA","Direct","Mobile"
"07ba8081","ES","EMEA","Direct","Desktop"
"e30eee12","CA","NA","Direct","Desktop"
"ff9cd372","US","NA","Direct","Mobile"
"1e97cec9","HK","APAC","Direct","Desktop"
"3dd26d67","CA","NA","Direct","Desktop"
"588967ef","GB","EMEA","Direct","Desktop"
"63d0f2e5","KR","APAC","Direct","Desktop"
"75f567c2","US","NA","Direct","Desktop"
"881b4104","AU","APAC","Affiliate","Unknown"
"8fec063a","IT","EMEA","Direct","Desktop"
"9fe52766","US","NA","Direct","Desktop"
"a984ca92","PE","LATAM","Direct","Mobile"
"d661d219","US","NA","Direct","Desktop"
"f05d234a","CH","EMEA","Direct","Desktop"
"f9dea0c3","US","NA","Direct","Desktop"
"0158091b","US","NA","Direct","Desktop"
"43cb78c2","US","NA","Direct","Mobile"
"7a9cb1bc","US","NA","Direct","Desktop"
"331d6fe6","US","NA","Direct","Desktop"
"7db8643d","DE","EMEA","Direct","Desktop"
"9dcfeb5f","RU","APAC","Direct","Desktop"
"a7c48e46","CO","LATAM","Direct","Desktop"
"ff16fc14","FR","EMEA","Direct","Desktop"
"ffea20cf","US","NA","Email","Mobile"
"028b0d4f","US","NA","Direct","Desktop"
"07e813fb","FR","EMEA","Direct","Desktop"
"0a428c9e","US","NA","Direct","Desktop"
"458cffaa","GR","EMEA","Direct","Desktop"
"4a3aa2f8","MX","LATAM","Direct","Desktop"
"b351829e","CA","NA","Email","Mobile"
"bbd52551","US","NA","Direct","Desktop"
"52a430cb","US","NA","Affiliate","Unknown"
"979eb279","US","NA","Direct","Desktop"
"3cec3059","GB","EMEA","Direct","Desktop"
"48ef27cc","JP","APAC","Direct","Mobile"
"b0536c65","US","NA","Direct","Desktop"
"db54fead","US","NA","Email","Mobile"
"e15d0b56","GB","EMEA","Direct","Mobile"
"a9ffa4be","CA","NA","Affiliate","Unknown"
"2be984ae","GB","EMEA","Direct","Desktop"
"36b69a1f","GB","EMEA","Direct","Mobile"
"484b35d7","FR","EMEA","Direct","Desktop"
"5b4e5bb4","US","NA","Direct","Mobile"
"73c04a8e","US","NA","Direct","Desktop"
"7f4001ba","US","NA","Email","Mobile"
"ad1d5a02","US","NA","Direct","Mobile"
"d21629f8","US","NA","Email","Mobile"
"daa082be","US","NA","Email","Mobile"
"dde9fc13","DE","EMEA","Direct","Desktop"
"e185621e","NO","EMEA","Email","Mobile"
"e59331c2","US","NA","Email","Mobile"
"eab7b928","FR","EMEA","Email","Mobile"
"ff594058","US","NA","Direct","Mobile"
"7ecbc665","US","NA","Direct","Mobile"
"03ad7d27","US","NA","Affiliate","Unknown"
"1c128cea","AU","APAC","Direct","Desktop"
"4bc09507","ES","EMEA","Direct","Mobile"
"54f72f5d","DE","EMEA","Direct","Desktop"
"ae8cac15","US","NA","Email","Mobile"
"b2106ae2","GB","EMEA","Direct","Desktop"
"d4239d80","GB","EMEA","Direct","Desktop"
"dc252fba","CH","EMEA","Direct","Mobile"
"f80c63a6","US","NA","Direct","Mobile"
"78df6e1c","CH","EMEA","Direct","Desktop"
"28e419e0","US","NA","Direct","Mobile"
"50345cda","CA","NA","Direct","Mobile"
"76ab04d5","US","NA","Direct","Desktop"
"87290e4b","US","NA","Direct","Desktop"
"8cca58cf","IT","EMEA","Email","Mobile"
"e6bc44fb","US","NA","Direct","Mobile"
"fd9ba3e5","US","NA","Direct","Desktop"
"673b7bff","US","NA","Direct","Desktop"
"758cff0e","US","NA","Direct","Desktop"
"2402c4cb","US","NA","Direct","Desktop"
"690ae650","US","NA","Direct","Desktop"
"78c53e90","US","NA","Direct","Desktop"
"81399cda","CA","NA","Email","Mobile"
"92e80e88","AU","APAC","Direct","Desktop"
"96e7a30a","US","NA","Direct","Desktop"
"cae6c108","US","NA","Direct","Desktop"
"cd4d3491","US","NA","Email","Mobile"
"e46983af","US","NA","Direct","Desktop"
"f6e586a8","US","NA","Direct","Desktop"
"f9223c2c","IN","APAC","Direct","Mobile"
"f4312f50","US","NA","Direct","Desktop"
"118f6844","US","NA","Social Media","Tablet"
"156bcb04","US","NA","Direct","Desktop"
"19c94b79","US","NA","Email","Mobile"
"397ccafc","US","NA","Direct","Desktop"
"82c85798","US","NA","Direct","Desktop"
"8c9fe0e8","US","NA","Direct","Desktop"
"9a0379ac","US","NA","Direct","Mobile"
"a027a7ef","BR","LATAM","Direct","Desktop"
"ecbd0907","US","NA","Email","Mobile"
"f30ccbca","US","NA","Direct","Mobile"
"22060903","BR","LATAM","Direct","Desktop"
"0198f1ba","ES","EMEA","Email","Mobile"
"f656ed3c","US","NA","Direct","Desktop"
"19618120","VI","NA","Direct","Mobile"
"04b2b6eb","DE","EMEA","Direct","Mobile"
"9bca1429","US","NA","Direct","Mobile"
"cad1d7a0","CH","EMEA","Direct","Desktop"
"124c78c0","US","NA","Direct","Desktop"
"2572bf18","US","NA","Direct","Desktop"
"3ba501d4","US","NA","Direct","Desktop"
